Edition/Newsletter,Date issued,Contents
ISO 3166:1974,1974,First edition of ISO 3166
ISO 3166:1981,1981,Second edition of ISO 3166
ISO 3166:1988,1988-08-15,Third edition of ISO 3166
ISO 3166:1994,1994-02-10,Fourth edition of ISO 3166
ISO 3166-1:1997,1997-09-25,First edition of ISO 3166-1 (ISO 3166 expanded into three parts)
Newsletter V-1 Archived 2018-12-07 at the Wayback Machine,1998-02-05,Change of official name (Samoa)
Newsletter V-2 Archived 2011-07-22 at the Wayback Machine,1999-10-01,"Inclusion of new country name and code elements (Palestinian Territory, Occupied)"
Newsletter V-3,2002-02-01,Change of alpha-3 Code Element (Romania)
Newsletter V-4 Archived 2018-12-07 at the Wayback Machine,2002-05-20,"Name changes (Afghanistan, Azerbaijan, Bahrain, Bosnia and Herzegovina, Fiji, Hong Kong, Kazakhstan, Kiribati, Macao, Niue, Somalia, Venezuela)"
Newsletter V-5 Archived 2018-12-07 at the Wayback Machine,2002-05-20,Change of names and alphabetical code elements of East Timor
Newsletter V-6,2002-11-15,Change of names of East Timor
Newsletter V-7 Archived 2018-12-07 at the Wayback Machine,2003-01-14,Change of official name of Comoros
Newsletter V-8,2003-07-23,"Deletion of ""Yugoslavia""; inclusion of ""Serbia and Montenegro"" with new alphabetical code elements"
Newsletter V-9 Archived 2016-03-03 at the Wayback Machine,2004-02-13,Inclusion of an entry for Åland Islands
Newsletter V-10 Archived 2018-12-07 at the Wayback Machine,2004-04-26,"Name changes (Afghanistan, Åland Islands)"
Newsletter V-11 Archived 2018-12-07 at the Wayback Machine,2006-03-29,"Inclusion of an entry for Jersey, Guernsey and Isle of Man. Change of remark for the United Kingdom"
Newsletter V-12,2006-09-26,"Inclusion of the new entries for ""Serbia"" and ""Montenegro"" (replacing Serbia and Montenegro)"
ISO 3166-1:2006 Archived 2009-07-07 at the Wayback Machine,2006-11-20,Second edition of ISO 3166-1
ISO 3166-1:2006/  Cor 1:2007 Archived 2011-06-06 at the Wayback Machine,2007-07-15,First Technical Corrigendum to ISO 3166-1:2006
Newsletter VI-1 Archived 2018-09-10 at the Wayback Machine,2007-09-21,"Assignment of code elements for Saint Barthélemy and Saint Martin and update of France and other French Territories (French Polynesia, French Southern Territories, Guadeloupe, Réunion)"
Newsletter VI-2 Archived 2018-07-26 at the Wayback Machine,2008-03-31,"Name changes for Moldova, Montenegro and other minor corrections (Madagascar, Palestinian Territory, Occupied, Saint Barthélemy)"
Newsletter VI-3 Archived 2018-07-25 at the Wayback Machine,2008-09-09,"Name change for Nepal and other minor corrections (Greenland, Guernsey, Moldova, Nigeria)"
Newsletter VI-4 Archived 2018-07-25 at the Wayback Machine,2009-01-07,"Name change for the Republic of Moldova and other minor corrections (Central African Republic, Comoros)"
Newsletter VI-5 Archived 2018-07-26 at the Wayback Machine,2009-03-03,"Name change for Bolivarian Republic of Venezuela and other minor corrections (Kiribati, Tuvalu)"
Newsletter VI-6 Archived 2018-07-25 at the Wayback Machine,2009-05-08,Name change for Plurinational State of Bolivia
Newsletter VI-7 Archived 2018-07-20 at the Wayback Machine,2010-02-22,"Name change for Saint Helena, Ascension and Tristan da Cunha"
Newsletter VI-8 Archived 2019-08-09 at the Wayback Machine,2010-12-15,"Code elements for Bonaire, Saint Eustatius and Saba, Curaçao and Sint Maarten (Dutch part), update of other territories (Netherlands, Netherlands Antilles) and minor corrections (Bosnia and Herzegovina, Croatia)"
Newsletter VI-9 Archived 2019-06-18 at the Wayback Machine,2011-06-12  (corrected  2011-07-14),"Name changes for Fiji and Myanmar as well as other minor corrections (Åland Islands, Bonaire, Sint Eustatius and Saba, Bulgaria, Netherlands, Niue)"
Newsletter VI-10 Archived 2018-07-24 at the Wayback Machine,2011-08-09,Code elements for South Sudan (and new numeric code for Sudan)
Newsletter VI-11 Archived 2019-05-23 at the Wayback Machine,2011-11-08,Name change for Libya
Newsletter VI-12 Archived 2019-05-23 at the Wayback Machine,2012-02-15,"Name change for Hungary and other minor corrections (Bangladesh, Bonaire, Sint Eustatius and Saba, Central African Republic, Equatorial Guinea, Eritrea, Germany)"
Newsletter VI-13 Archived 2019-04-12 at the Wayback Machine,2012-08-02,"Name change for Eritrea and other minor corrections (Germany, Sri Lanka)"
Newsletter VI-14 Archived 2013-11-03 at the Wayback Machine,2013-02-06,"Name change for State of Palestine and other minor corrections (Bulgaria, Bouvet Island, Jersey, Saint Martin (French part), Seychelles, Sint Maarten (Dutch part), Viet Nam)"
Newsletter VI-15 Archived 2018-07-25 at the Wayback Machine,2013-05-10,Name change for Papua New Guinea
Newsletter VI-16 Archived 2018-07-24 at the Wayback Machine,2013-07-11,Name change for Somalia
ISO 3166-1:2013 Archived 2014-03-04 at the Wayback Machine,2013-11-19,Third edition of ISO 3166-1 (changes are published in the online catalogue Archived 2022-10-21 at the Wayback Machine of ISO only and no newsletters are published anymore)
ISO 3166-1:2020 Archived 2020-12-30 at the Wayback Machine,2020-08,Fourth edition of ISO 3166-1
